Step,AgentID,NormDir,NeighborInfo,run
1,1,[-0.39271937  0.91965836],"[0.9, 0.05, 0.7, -0.12145994140269822, 0.30629508079565126, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,2,[ 0.52334918 -0.85211832],"[0.9, 0.05, 0.7, 0.30662039156515464, -0.6168936083387333, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,3,[-0.2903245   0.95692826],"[0.9, 0.05, 0.7, -0.3339172303489124, 0.9659529864743626, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,4,[-0.0222928  -0.99975148],"[0.9, 0.05, 0.7, -0.010524062172273085, -0.4911168676476747, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,5,[ 0.73136172 -0.68198976],"[0.9, 0.05, 0.7, 0.3069882430938482, -0.3674503820723789, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,6,[ 0.00533964 -0.99998574],"[0.9, 0.05, 0.7, -0.007486134010606271, -0.4913166019752879, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,7,[-0.92055607 -0.39061045],"[0.9, 0.05, 0.7, -0.927805302099344, -0.42278669637860844, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,8,[-0.61872816  0.78560516],"[0.9, 0.05, 0.7, -0.7665061307480949, 0.7419332342249192, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,9,[0.78002622 0.62574683],"[0.9, 0.05, 0.7, 0.013110991413467055, 0.05907318606450973, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,10,[-0.75276263 -0.65829205],"[0.9, 0.05, 0.7, -0.9631479385395385, -0.7389472239420434, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
