Step,AgentID,Angle,Vision,Separation,CohereFactor,SeparateFactor,MatchFactor,NeighborDiffSum
0,1,4.616652020319188,10,2,0.03,0.015,0.05,"[0, 0]"
0,2,0.29208437218858596,10,2,0.03,0.015,0.05,"[0, 0]"
0,3,4.262658928906282,10,2,0.03,0.015,0.05,"[0, 0]"
0,4,5.992663578810586,10,2,0.03,0.015,0.05,"[0, 0]"
0,5,1.853524673165773,10,2,0.03,0.015,0.05,"[0, 0]"
0,6,0.7047826278129108,10,2,0.03,0.015,0.05,"[0, 0]"
0,7,1.3177858920082262,10,2,0.03,0.015,0.05,"[0, 0]"
0,8,0.46869751064609577,10,2,0.03,0.015,0.05,"[0, 0]"
0,9,1.3015177492675267,10,2,0.03,0.015,0.05,"[0, 0]"
0,10,1.3894440578939844,10,2,0.03,0.015,0.05,"[0, 0]"
0,11,0.6398529128976795,10,2,0.03,0.015,0.05,"[0, 0]"
0,12,5.093675683860613,10,2,0.03,0.015,0.05,"[0, 0]"
0,13,1.6867057948406705,10,2,0.03,0.015,0.05,"[0, 0]"
0,14,0.4055888300044288,10,2,0.03,0.015,0.05,"[0, 0]"
0,15,1.6240950975391497,10,2,0.03,0.015,0.05,"[0, 0]"
0,16,1.6642749744715193,10,2,0.03,0.015,0.05,"[0, 0]"
0,17,3.9343037817007263,10,2,0.03,0.015,0.05,"[0, 0]"
0,18,0.7727059766705118,10,2,0.03,0.015,0.05,"[0, 0]"
0,19,5.0460982154949665,10,2,0.03,0.015,0.05,"[0, 0]"
0,20,2.1783534873109023,10,2,0.03,0.015,0.05,"[0, 0]"
1,1,4.616652020319188,10,2,0.03,0.015,0.05,"[0, 0]"
1,2,0.37090639899650113,10,2,0.03,0.015,0.05,"[-1.1367598213764865, -5.959046153689485]"
1,3,4.262658928906282,10,2,0.03,0.015,0.05,"[0, 0]"
1,4,5.917704793794473,10,2,0.03,0.015,0.05,"[3.430433795388808, 1.1193555490600033]"
1,5,1.853524673165773,10,2,0.03,0.015,0.05,"[0, 0]"
1,6,0.6899615306879672,10,2,0.03,0.015,0.05,"[-4.892286356857753, 7.308708713131338]"
1,7,1.3177858920082262,10,2,0.03,0.015,0.05,"[0, 0]"
1,8,0.3652920458635436,10,2,0.03,0.015,0.05,"[4.370284214358108, 1.1807031932828442]"
1,9,1.3015177492675267,10,2,0.03,0.015,0.05,"[0, 0]"
1,10,1.3894440578939844,10,2,0.03,0.015,0.05,"[0, 0]"
1,11,0.8504313527934761,10,2,0.03,0.015,0.05,"[-5.12184923516962, -0.5210441756892115]"
1,12,5.093675683860613,10,2,0.03,0.015,0.05,"[0, 0]"
1,13,1.6867057948406705,10,2,0.03,0.015,0.05,"[0, 0]"
1,14,0.4628054908057262,10,2,0.03,0.015,0.05,"[-3.073035683167145, -0.18540341464390053]"
1,15,1.5149058294762412,10,2,0.03,0.015,0.05,"[4.393570809464009, 1.1248776385112222]"
1,16,1.6642749744715193,10,2,0.03,0.015,0.05,"[0, 0]"
1,17,3.884646928874476,10,2,0.03,0.015,0.05,"[-1.0304073763382604, -0.3866327914271537]"
1,18,0.7727059766705118,10,2,0.03,0.015,0.05,"[0, 0]"
1,19,5.0460982154949665,10,2,0.03,0.015,0.05,"[0, 0]"
1,20,2.2478968924124842,10,2,0.03,0.015,0.05,"[0.25101478444418035, -0.239903071633087]"
2,1,4.616652020319188,10,2,0.03,0.015,0.05,"[0, 0]"
2,2,0.4733237733747666,10,2,0.03,0.015,0.05,"[-2.0491969442454376, -6.997909354406957]"
2,3,4.262658928906282,10,2,0.03,0.015,0.05,"[0, 0]"
2,4,5.894662292165579,10,2,0.03,0.015,0.05,"[2.626575459563547, 1.080206895157815]"
2,5,1.853524673165773,10,2,0.03,0.015,0.05,"[0, 0]"
2,6,0.6930925844796669,10,2,0.03,0.015,0.05,"[-4.980170208525905, 6.754028308683175]"
2,7,1.3177858920082262,10,2,0.03,0.015,0.05,"[0, 0]"
2,8,0.25401271918265267,10,2,0.03,0.015,0.05,"[4.727506300589383, 0.246683717517711]"
2,9,1.3015177492675267,10,2,0.03,0.015,0.05,"[0, 0]"
